Country,Week,Combine,Total_weekwise
Russia,5,Russia---Week-5 2020,2
Russia,6,Russia---Week-6 2020,0
Russia,7,Russia---Week-7 2020,0
Russia,8,Russia---Week-8 2020,0
Russia,9,Russia---Week-9 2020,0
Russia,10,Russia---Week-10 2020,8
Russia,11,Russia---Week-11 2020,35
Russia,12,Russia---Week-12 2020,208
Russia,13,Russia---Week-13 2020,783
Russia,14,Russia---Week-14 2020,3113
Russia,15,Russia---Week-15 2020,7768
Russia,16,Russia---Week-16 2020,20091
Russia,17,Russia---Week-17 2020,36614
